type,date,url,text,user,user_url,user_location,followers,following,account_creation_date,tweet_likes,quotes,retweets,country,antisemitic_post,non_antisemitic_post
tweet,2023-04-05 20:45:38+00:00,https://twitter.com/IHRF_English/status/1643716549671284738,"#Palestine🇵🇸 We demand that the Israeli authorities immediately cease their attacks on peaceful worshippers at Al-Aqsa Mosque, specially during the holy month of Ramadan. Respect unarmed civilians, peace and human rights. De-escalate the violence immediately. Enough is enough! https://t.co/FqTaaerN3f",IHRF_English,https://x.com/IHRF_English,Unknown,939929,19875,2009-10-05,6631,93,3452,Unknown,False,True
tweet,2023-04-06 10:18:14+00:00,https://twitter.com/IHRF_English/status/1643921044997120000,#Palestine🇵🇸 The whole world is watching the crimes of the Israeli state in attacking unarmed civilians praying in Al-Aqsa Mosque. The International Community must launch an independent investigation and punish those responsible with the full force of the law. Enough is enough! https://t.co/kO4EHJmbn7,IHRF_English,https://x.com/IHRF_English,Unknown,939929,19875,2009-10-05,4194,59,2348,Unknown,False,True
tweet,2023-04-07 09:19:41+00:00,https://twitter.com/HumaZhr/status/1644268696779599872,Palestine will be free 🇵🇸 https://t.co/l9MaCso3Mx,HumaZhr,https://x.com/HumaZhr,no where ,56960,1050,2022-02-08,13472,136,2251,Unknown,,
tweet,2023-04-09 03:25:37+00:00,https://twitter.com/Akhy001/status/1644904370696323072,May Allaah free the land of Palestine 🇵🇸 🥀😭 https://t.co/XjSMhIdc3O,Akhy001,https://x.com/Akhy001,Nigeria,24532,7219,2020-10-12,6937,63,1270,Nigeria,False,True
tweet,2023-04-16 15:32:40+00:00,https://twitter.com/TateTheTalisman/status/1647624052293369859,"My contact in Palestine who I’ve been helping this Ramadan sent me this photo and it broke my heart.

Look at her beautiful smile and how happy she is for receiving something as modest as a chicken.

She deserves to live in safety.

I vow to do more for them and more for her.

🙏🏽 https://t.co/ouwUnTPYDK",TateTheTalisman,https://x.com/TateTheTalisman,"Bucharest, Romania",2926760,807,2013-12-09,76742,397,6777,Romania,False,True
tweet,2023-04-20 15:51:28+00:00,https://twitter.com/jeremycorbyn/status/1649078334813360135,End the occupation. Defend human rights. Free Palestine. https://t.co/HY0QfPgAA7,jeremycorbyn,https://x.com/jeremycorbyn,UK,2600380,3249,2010-02-26,20459,309,6013,United Kingdom,True,False
tweet,2023-04-15 15:55:41+00:00,https://twitter.com/HalalNation_/status/1647267458590416898,Palestine will be free 🥀 https://t.co/AVgl4TDSpq,HalalNation_,https://x.com/HalalNation_,Allah’s earth,200946,5462,2020-06-17,8549,39,811,Unknown,False,True
tweet,2023-04-01 14:52:14+00:00,https://twitter.com/Wandilemsomix/status/1642178059494211585,"🇿🇦South African Foreign Minister

""You can't say because #Ukraine 🇺🇦 has been invaded, suddenly sovereignty is important, but it wasn't important for #Palestine 🇵🇸""

""...That's where International Law begins to mean Nothing ...

""Post 1948 has arrived""

***

Russia | Putin | BRICS| #DonaldTrump #UkraineRussiaWar️",Wandilemsomix,https://x.com/Wandilemsomix,"Johannesburg, South Africa",6101,2644,2016-10-18,9070,495,3950,South Africa,False,True
tweet,2023-04-25 18:03:57+00:00,https://twitter.com/Sprinterfactory/status/1650923615544549381,Tensions between Russia and Israel at a UN security council meeting https://t.co/3D0xtXWaQl,Sprinterfactory,https://x.com/Sprinterfactory, 💞💞💞,548778,958,2019-05-14,6035,344,1687,Unknown,False,True
tweet,2023-04-22 16:13:08+00:00,https://twitter.com/redbrasco/status/1649808566201491456,"Two beautiful daughters.
Two members of the IDF.
Two Israeli women.

Tell me again about apartheid in Israel! https://t.co/N22Ksau9uk",redbrasco,https://x.com/redbrasco,Hidden Underground Alien Base,12401,684,2011-04-15,1465,38,235,Unknown,False,True
tweet,2023-04-29 18:21:40+00:00,https://twitter.com/Soc_Intl/status/1652377628278415362,"Today broadcasted in all streets of Israel. The president of the Socialist International had the first speech of today.

More than 200 000 people on the streets. We as Socialist International, stand in solidarity with the people of Israel. 

Dear friends, you will always find us in the fight for democracy.

🌹 @sanchezcastejon",Soc_Intl,https://x.com/Soc_Intl,Worldwide,5456,62,2011-11-10,792,160,329,Unknown,False,True
tweet,2023-04-27 12:55:57+00:00,https://twitter.com/LaurenWitzkeDE/status/1651570880676282370,"DeSantis just flew to Israel to sign a bill that puts serious limitations on free speech.

Who does this guy really work for? https://t.co/mT1Aqf6zuC",LaurenWitzkeDE,https://x.com/LaurenWitzkeDE,Unknown,151338,1705,2019-03-05,2874,163,601,Unknown,False,True
tweet,2023-04-25 16:45:31+00:00,https://twitter.com/DavidSaranga/status/1650903878420905984,"Happy 75th Birthday Israel 🇮🇱 

#Israel75 https://t.co/KMP1ug0DL9",DavidSaranga,https://x.com/DavidSaranga,Israel,23506,2648,2008-12-28,1630,21,273,Israel,False,True
tweet,2023-04-27 22:08:34+00:00,https://twitter.com/ericgarland/status/1651709952807825409,"Ron DeSantis - who allowed Israeli military onto U.S. soil without explanation - is now signing Florida legislation while *in* Israel as a guest of Netanyahu...while supporting the Saudi dictatorship.

It's like Bibi is bragging to his voters that he owns our politicians. https://t.co/rqZ6fq9Ykv",ericgarland,https://x.com/ericgarland,"Missouri Territory, U.S. DMZ",296526,2016,2008-10-22,826,27,487,United States of America,False,True
tweet,2023-04-26 19:18:56+00:00,https://twitter.com/EretzIsrael/status/1651304873944547358,Independence Day @IAFsite @Israel 🇮🇱 https://t.co/6xUbxmlwCz,EretzIsrael,https://x.com/EretzIsrael,Israel,54623,1990,2014-03-05,3436,105,746,Israel,False,True
tweet,2023-04-26 18:54:24+00:00,https://twitter.com/rulajebreal/status/1651298699887116319,"Since 1967 Israel has uprooted over 2.5 million productive Palestinian trees.
800,000 olive trees were illegally uprooted.
In August 2021 alone, 9000
trees were forcibly destroyed. 

Making the “desert bloom” by destroying 500 villages &amp; 2.5 million trees. https://t.co/MgqRXSAcvz",rulajebreal,https://x.com/rulajebreal,United States,205461,10251,2011-07-22,991,39,667,United States of America,False,True
tweet,2023-04-27 12:48:38+00:00,https://twitter.com/PhillipInIsrael/status/1651569040496680962,"Where ARE all those Palestinians, the proclaimed one million of them who lived in Israel before they were ‘displaced’?
Nowhere.

Nowhere, because they never existed.
- Wanna see proof? lol
Here: 9,000 Photos from 1800’s British Mandate of Palestine – with no trace of ‘Palestinians’

https://t.co/OZanrk4daf

H/T to @rabbisbenj",PhillipInIsrael,https://x.com/PhillipInIsrael,Israel,7462,7966,2017-03-01,1053,77,390,Israel,False,True
tweet,2023-04-26 03:53:56+00:00,https://twitter.com/NYCMayor/status/1651072091444199424,"On Yom Ha’atzmaut, Israel’s Independence Day, we celebrate freedom for those in Israel and around the world. https://t.co/CUCCR34p88",NYCMayor,https://x.com/NYCMayor,"New York, NY",1587628,1343,2009-01-31,1178,14,133,United States of America,False,True
tweet,2023-04-29 18:33:46+00:00,https://twitter.com/NYJets_Media/status/1652380671799705603,"The #Jets RB room is DEEP with youthful talent:

• Breece Hall (21)
• Michael Carter (23)
• Bam Knight (22)
• Israel Abanikanda (20)

I love it🔥💨 https://t.co/grrPDxajUL",NYJets_Media,https://x.com/NYJets_Media,"Long Island, NY",29098,680,2019-01-10,1630,16,136,United States of America,False,True
tweet,2023-04-26 02:32:04+00:00,https://twitter.com/RobertKennedyJr/status/1651051488620232704,"At dinner with my friend Holocaust survivor Vera Sharav and my daughter Kyra on Israel’s birthday. After fleeing Nazi pogroms in Romania, Vera spent three years in Ukraine’s Mogilev slave labor camp before escaping to Palestine in 1944. She has spent her lifetime as one of the world’s most effective and eloquent human rights advocates.",RobertKennedyJr,https://x.com/RobertKennedyJr,"Los Angeles, California",2953125,920,2011-07-18,20965,236,2047,United States of America,False,True
tweet,2023-04-27 19:48:40+00:00,https://twitter.com/ADL/status/1651674744196874240,"We're pleased to announce that @PahlaviReza, the exiled Crown Prince of Iran, will deliver keynote remarks at #NLS2023 this Sunday. He'll discuss his recent trip to Israel &amp; offer his thoughts on the Iranian people’s ongoing movement for secular democracy. https://t.co/ERoFV7qvsb https://t.co/Ho4ATO0D6N",ADL,https://x.com/ADL,New York City,358188,3908,2009-01-28,3293,103,1356,United States of America,False,True
tweet,2023-04-26 08:37:46+00:00,https://twitter.com/tali_nat/status/1651143521330659328,"Happy 75th Independence Day to our miracle of a country - Israel! 🇮🇱
#IndependenceDay https://t.co/My2fsEzm8M",tali_nat,https://x.com/tali_nat,Israel,5393,920,2016-11-24,4863,29,451,Israel,False,True
tweet,2023-04-23 22:18:00+00:00,https://twitter.com/VermilViathan/status/1650262775334068224,sorry I don’t care if the president of Uganda has a ‘based’ take on Israel-Palestine we should not be uplifting an anti gay genocidal maniac https://t.co/whlQHP2uwC,VermilViathan,https://x.com/VermilViathan,"Delaware Valley, PA",2790,1000,2020-10-01,11493,24,685,United States of America,False,True
tweet,2023-04-26 15:37:51+00:00,https://twitter.com/IAFsite/status/1651249238641111043,"Happy birthday Israel, we love you! #75 https://t.co/tShAtSSvma",IAFsite,https://x.com/IAFsite,Israel,329152,56,2015-12-30,3900,32,449,Israel,False,True
tweet,2023-04-25 17:12:33+00:00,https://twitter.com/TSchwarzbard/status/1650910682592821296,"I love every inch of this beautiful, magnificent, complicated, resilient country I call home. 

Israel, we don't know how we ever lived without you and thankfully we'll never have to. 

Happy 75 Independence Day Israel 💙🇮🇱

#Israel75 https://t.co/OPLOpkDWTk",TSchwarzbard,https://x.com/TSchwarzbard,"Jerusalem, Israel",33184,916,2021-07-05,4579,40,465,Israel,False,True
tweet,2023-04-25 11:32:22+00:00,https://twitter.com/USJewishDems/status/1650825072087646208,"🚨 BREAKING NEWS 🚨

Jewish Dems proudly endorse President @JoeBiden for re-election in 2024.

From defending democracy &amp; protecting our rights to combating antisemitism &amp; supporting Israel, Joe Biden is fighting for progress on the issues Jewish Americans care about most. https://t.co/9KTwBxAcYZ",USJewishDems,https://x.com/USJewishDems,United States,22041,4039,2017-08-18,11261,51,2776,United States of America,False,True
tweet,2023-04-24 00:22:23+00:00,https://twitter.com/palestinianfolk/status/1650294078116864001,"Italians are amazing especially with their history in fighting oppression, In this video &amp; while they’re waiting at one of the zionist checkpoints in Palestine, they’v started singing ‘Bella Ciao’ an Italian folk song thats been associated with anti-fascist resistance movements https://t.co/NWaxxAJrhm",palestinianfolk,https://x.com/palestinianfolk,Unknown,2596,1169,2022-02-28,1817,156,758,Unknown,False,True
tweet,2023-04-21 06:30:56+00:00,https://twitter.com/Timesofgaza/status/1649299662778646528,Happy Eid and free Palestine. https://t.co/YffHBQP1N4,Timesofgaza,https://x.com/Timesofgaza,Palestine,823445,1,2018-11-24,9684,48,1671,Unknown,True,False
tweet,2023-04-11 21:38:23+00:00,https://twitter.com/OnlinePalEng/status/1645904148875886593,"A mass protest for Palestine in Detroit, the U.S. state of Michigan. 🇵🇸 https://t.co/zuHKvHyZTV",OnlinePalEng,https://x.com/OnlinePalEng,Global ,343637,310,2020-10-20,7837,76,2668,Unknown,False,True
tweet,2023-04-13 19:45:23+00:00,https://twitter.com/Khamenei_m/status/1646600489285439491,"Victory belongs to the people of #Palestine
#FreePalestine 🇵🇸

https://t.co/tVBZgBY4jJ https://t.co/bbQLEj1p1X",Khamenei_m,https://x.com/Khamenei_m,Islamic Republic of Iran,33732,1,2021-06-30,2401,14,825,Iran,True,False
tweet,2023-04-04 21:43:24+00:00,https://twitter.com/ABroNextDoor/status/1643368699473133568,"Ya Rabb, grant us the ability to witness the freedom of Palestine from the oppressors🤲🏾💔 https://t.co/oSlbzMHY9D",ABroNextDoor,https://x.com/ABroNextDoor,Palestine Emegency Appeal ⬇️,40815,601,2015-06-03,27419,648,8925,Unknown,True,False
tweet,2023-04-11 15:53:00+00:00,https://twitter.com/LailaPalestini1/status/1645817230423371778,"Raise your voice for Palestine💔
#FreePalestine https://t.co/xCV0rVDF5h",LailaPalestini1,https://x.com/LailaPalestini1,"Los Angeles, CA",28814,6231,2020-05-09,2057,47,1105,United States of America,True,False
tweet,2023-04-09 17:49:51+00:00,https://twitter.com/Nigeriansunni/status/1645121860181344258,"Palestine today subhanallahi 😭😭😭
May Allah grant them relief. Ameen 🤲 https://t.co/lDqbCFtSOZ",Nigeriansunni,https://x.com/Nigeriansunni,Unknown,39022,244,2017-01-12,13434,80,2179,Unknown,False,True
tweet,2023-04-02 20:06:22+00:00,https://twitter.com/sahouraxo/status/1642619501765185536,"""You can't say because Ukraine was invaded that suddenly sovereignty is important, but it was never important for Palestine. If you believe in international law, then wherever sovereignty is infringed, it must apply.""

—South Africa's Foreign Minister 

https://t.co/AzdcPx6s6r",sahouraxo,https://x.com/sahouraxo,Unknown,595885,498,2015-07-25,30207,599,10918,Unknown,False,True
tweet,2023-04-04 22:22:16+00:00,https://twitter.com/HadiNasrallah/status/1643378478085988352,"This is happening now in Jerusalem, Palestine. One of the holiest places in Islam is being savagely attacked by Israeli occupation forces. No sanctions. No ICC warrants. https://t.co/2UxQwe2HWD",HadiNasrallah,https://x.com/HadiNasrallah,Mount Galilee,145163,364,2012-02-04,9026,509,6470,Unknown,False,True
tweet,2023-04-02 07:18:26+00:00,https://twitter.com/real1maria/status/1642426246561779713,"🇿🇦 Dr Naledi Pandor - ""You can't say because Ukraine was invaded that suddenly sovereignty is important, but it was never important for Palestine. If you believe in international law, then wherever sovereignty is infringed, it must apply."" https://t.co/EjImwhcv9u",real1maria,https://x.com/real1maria, ,14618,805,2022-03-12,2473,84,1067,"I'm sorry, without a specific location provided, I am unable to determine the country. Please provide more details for accurate analysis.",False,True
tweet,2023-04-15 14:57:09+00:00,https://twitter.com/KevorkAlmassian/status/1647252729255919617,Why are Israeli forces assaulting and abusing the Christians of Palestine while they prepare to celebrate Orthodox Easter tomorrow Sunday? https://t.co/giuYyzT65x,KevorkAlmassian,https://x.com/KevorkAlmassian,Germany,94976,888,2011-06-29,2025,127,1097,Germany,False,True
tweet,2023-04-11 00:32:23+00:00,https://twitter.com/rawsalerts/status/1645585552832430081,"🚨#BREAKING: A truck carrying over 20,000 pounds of toxic soil out of the train derailment zone in toppled over in an accident

 📌#EastPalestine | #Ohio

Officials say a truck hauling toxic soil out of East Palestine Ohio crashed Monday evening, spilling about half its contents onto the roadway The tractor-trailer was carrying 40,000 pounds of contaminated soil away from the train derailment site. About 20,000 pounds of soil spilled during the crash there is not a threat to public health",rawsalerts,https://x.com/rawsalerts,United states ,976347,1991,2019-09-23,5966,787,2371,United States of America,False,True
tweet,2023-04-05 14:50:31+00:00,https://twitter.com/SpeedUpdates1/status/1643627180973326337,Speed raises awareness about the current situation in Palestine 🇵🇸 https://t.co/U5oXO7ivT9,SpeedUpdates1,https://x.com/SpeedUpdates1,DM for promo ,327621,241,2022-07-26,10709,68,1267,Unknown,False,True
tweet,2023-04-21 19:19:05+00:00,https://twitter.com/nicksortor/status/1649492971362963456,"(unless you live in East Palestine, Ohio, of course) https://t.co/NElzT5aZES",nicksortor,https://x.com/nicksortor,"Austin, TX (& KY) 🇺🇸",338021,17866,2013-10-29,4647,44,1148,United States of America,False,True
tweet,2023-04-23 16:50:50+00:00,https://twitter.com/Rachael_Swindon/status/1650180438432837635,"“The Palestinian people have suffered enough. The least we can do as a country is recognise the state of Palestine.""

Jeremy Corbyn is right.

 https://t.co/gSOqRXLO31",Rachael_Swindon,https://x.com/Rachael_Swindon,Swindon state-affiliated media,114576,7843,2014-11-10,1592,17,509,Unknown,False,True
tweet,2023-04-18 10:42:27+00:00,https://twitter.com/3lfares/status/1648275793603178498,"Going to Auschwitz concentration camp, where 1 million Jews were murdered by the Nazis, to post a selfie on Twitter with the quotation ""Justice for Palestine 🇵🇸"" is extremely despicable by all means and has nothing to do with justice or Palestine. https://t.co/xZepD030PQ",3lfares,https://x.com/3lfares,🇸🇪/🇵🇸 La Gabasie,10703,316,2016-01-24,27181,127,1487,Unknown,False,True
tweet,2023-04-13 13:25:45+00:00,https://twitter.com/DC_Draino/status/1646504952334807043,"Just in case you didn’t already hate Brad Paisley enough for teaming up with Jill Biden to push vaccines, here he is singing in Ukraine with Sen. Joe Manchin

He won’t play any songs in East Palestine, but he’ll play in Kiev?!
https://t.co/COiJjcpSjE",DC_Draino,https://x.com/DC_Draino,"Tampa, FL",1488981,993,2017-06-16,10886,559,3381,United States of America,False,True
tweet,2023-04-07 10:01:33+00:00,https://twitter.com/M10/status/1644279236071391233,"Ramadan is supposed to be a month of humility and worship, but Ramadan in Palestine is different. 
Let's pray for the safety of our brothers and sisters in Palestine 🤲🏼❤️🇵🇸 https://t.co/WzhL8OGcaU",M10,https://x.com/M10,"Turkey, Istanbul",26293664,132,2012-03-22,289565,1725,46026,Turkey,False,True
tweet,2023-04-07 14:08:48+00:00,https://twitter.com/QudsNen/status/1644341459204579328,"A Palestinian worshiper raises the flag of Palestine at the Al-Aqsa Mosque compound in occupied Jerusalem, today. https://t.co/BSJAvz0vJp",QudsNen,https://x.com/QudsNen,Unknown,526971,0,2012-03-15,3989,29,891,Unknown,False,True
tweet,2023-04-25 18:00:01+00:00,https://twitter.com/Israel/status/1650922625005387776,"“Anything is possible with a little bit of faith”

75 years ago today, we became a country.

It hasn't always been easy, but it's been an incredible journey. 

Join us and former NBA player @Casspi18 as we celebrate the incredible miracle that is Israel. 

#Israel75 https://t.co/GHAk1GB52X",Israel,https://x.com/Israel,"Jerusalem, Israel",1629639,5141,2009-07-01,1242,61,300,Israel,False,True
tweet,2023-04-25 17:00:00+00:00,https://twitter.com/Israel/status/1650907523648724993,"75 years young, 3,000 years old 🇮🇱. 

Happy Birthday Israel!

We ❤️ you. 

#Israel75 https://t.co/QFB120RQzN",Israel,https://x.com/Israel,"Jerusalem, Israel",1629639,5141,2009-07-01,4532,176,907,Israel,False,True
tweet,2023-04-25 17:21:51+00:00,https://twitter.com/noatishby/status/1650913021026353186,"It’s Israel’s Independence Day! Israel is turning 75, and to celebrate that, here are 10 fun facts you might not have known about the tiny Jewish state in the Middle East. 

Israel has the world’s highest concentration of tech companies outside of Silicon Valley and the world’s highest number of startup companies per capita. Some of the most innovative companies in the world are Israeli such as Mobeleye Wix and Waze. 

Israel is the only country in the world that has more trees today than it did 50 years ago.
Israel is the only country in the world that has more water than it did 50 years ago, due to super advanced desalination technology. How does a country have more trees and more water? 

Israel has the highest number of museums per capita in the world. It has more museums than McDonald’s. 

Abortion is not just legal in Israel, it is actually paid for by the government under the universal national healthcare system. 

Israel has the highest percentage of vegans per capita in the world, with an estimated 5% of the population following a vegan diet. And they don’t feel the need to constantly tell you about it. 

Israel is the only country in the world that uses a language that has been dead for 2000 years! Hebrew! The one from the Bible. 

According to the World Health Organization Israel has one of the highest life expectancies in the world, with an average life expectancy of 84.7 years. 

Israel is the second country in the world to have a woman Prime Minister and Wonder Woman is Israeli too! 

According to the 2022 World Happiness Report, Israel is the fourth happiest country in the world. 

Despite being constantly under attack and surrounded by some countries who are not that into her, the people of Israel are amazing. They are patriotic, passionate and appreciative. 

Happy birthday Israel! 🇮🇱",noatishby,https://x.com/noatishby,"LA, TLV. ",240073,378,2009-04-02,2704,241,612,Unknown,False,True
tweet,2023-04-07 12:57:00+00:00,https://twitter.com/democracynow/status/1644323389702656001,"Palestinian writer Mohammed El-Kurd (@m7mdkurd) says extremists now in power in Israel do not meaningfully differ in their views from mainstream Israeli society. Figures like National Security Minister Itamar Ben-Gvir are merely ""saying the quiet part out loud,"" says El-Kurd. https://t.co/NWUzuLZzmu",democracynow,https://x.com/democracynow,New York,832119,6479,2008-10-23,1552,39,670,United States of America,False,True
tweet,2023-04-25 15:47:51+00:00,https://twitter.com/Israel/status/1650889365969575936,"The next hour is one of the most powerful moments in the Israeli calendar. 

We transition from Israel Memorial Day to Israel Independence Day. 

We would not have one without the other. 

If it wasn't for them, there would be no us. 

We remember. We keep living 🕯️🇮🇱

#Israel75 https://t.co/xYtY3pKuaD",Israel,https://x.com/Israel,"Jerusalem, Israel",1629639,5141,2009-07-01,1822,28,350,Israel,False,True
tweet,2023-04-24 15:05:15+00:00,https://twitter.com/Israel/status/1650516256435437572,"Over the next 26 hours, Israel will pause and remember the 24,213 fallen soldiers and 4,255 victims of terror  since Israel's founding.

We remember and honor the brave men and women who paid the ultimate sacrifice for our country. 

May their memory be a blessing 🇮🇱🕯️ https://t.co/JTxTh8ffLQ",Israel,https://x.com/Israel,"Jerusalem, Israel",1629639,5141,2009-07-01,971,32,274,Israel,False,True
tweet,2023-04-28 11:02:48+00:00,https://twitter.com/PahlaviReza/status/1651904792598564864,"Among the main activities of my recent trips to Israel and Italy were visits to important religious sites and places of worship in Jerusalem, Haifa and Vatican City, with the aim of communicating to the public and to religious and political leaders that, from thousands of years ago, the ancient nation of Iran was a cradle of diversity and freedom for various religions and belief systems. Historically, the followers of different faiths in Iran worshipped freely and lived in peace and tolerance alongside each other. But from the moment that the Islamic Republic seized power in Iran, it targeted the lives and livelihoods of Iran’s Jewish, Baha’i, Christian, Zoroastrian, Sunni, Dervish, Yarsan and atheist communities, as well as the majority of Iranian Shias who opposed its repressive rule. In a future secular and democratic Iran, the rule of law will establish and guarantee freedom of religion as a fundamental right so that Iran can return to its roots as a nation where people of different faiths live and worship freely alongside each other.",PahlaviReza,https://x.com/PahlaviReza,Unknown,1402676,73,2009-05-06,18835,97,6008,Unknown,False,True
tweet,2023-04-25 18:54:28+00:00,https://twitter.com/WarFrontline/status/1650936329574686736,"🚨#Breaking, Tensions between Russia and Israel at a UN security council meeting🇮🇱‼️🍻

#Ukraine #UkraineRussiaWar #Putin #Israel #Bakhmut #Russia #Kherson

https://t.co/c2w8qC7wYt",WarFrontline,https://x.com/WarFrontline,Unknown,55907,8,2022-12-27,3362,81,742,Unknown,False,True
tweet,2023-04-25 16:01:38+00:00,https://twitter.com/OwenPaintbrush/status/1650892832809336833,"Noam Chomsky calmly and rationally explaining why non-Jews who criticise Israel are smeared as ""antisemites"" and Jews who criticise Israel are smeared as ""self-hating Jews"".

Labour's ""antisemitism crisis"" in a nutshell.

#ItWasAScam

https://t.co/DvDI2xL0Zv",OwenPaintbrush,https://x.com/OwenPaintbrush,Unknown,59353,3856,2015-11-16,916,11,504,Unknown,False,True
tweet,2023-04-21 10:35:41+00:00,https://twitter.com/NindaTurtles/status/1649361255986253825,"How come after Friday Namaz, all the Muslims come out with the same agenda and start protesting?

Muslims from Bihar came out today and protested against Yogi government.

Muslims from UP came out protesting against America and Israel.

It becomes clear that Masjids are not just used for Prayers",NindaTurtles,https://x.com/NindaTurtles,Unknown,26423,287,2010-01-25,5538,44,2022,Unknown,False,True
tweet,2023-04-27 19:07:02+00:00,https://twitter.com/grantstern/status/1651664268763230224,"Ron DeSantis just had a MELTDOWN when questioned about his time working at Guantanamo Bay on tour in Jerusalem.

Without FDLE to target journalists, Florida's governor has NO CLUE how to respond to questions.

This happened at Israel's Museum of Tolerance.
https://t.co/VlorMiv0c3",grantstern,https://x.com/grantstern,"Miami, FL",204364,13489,2009-01-23,9118,564,2402,United States of America,False,True
tweet,2023-04-26 11:19:37+00:00,https://twitter.com/NikkiHaley/status/1651184248760545280,"Happy Yom Ha’atzmaut to our friends in Israel! Israel’s story is filled with faith and resolve. We are grateful for your friendship and partnership.

Happy 75th birthday! 🇺🇸🇮🇱 https://t.co/tcNPO3mykH",NikkiHaley,https://x.com/NikkiHaley,Unknown,1062037,929,2018-12-31,7303,98,542,Unknown,False,True
tweet,2023-04-26 16:42:14+00:00,https://twitter.com/HSajwanization/status/1651265441409515521,"Happy Birthday Israel 🇮🇱 !  

From a friend, 

The UAE 🇦🇪 https://t.co/HTXiv2eMbi",HSajwanization,https://x.com/HSajwanization,"Dubai, United Arab Emirates",236052,638,2011-12-08,4867,63,383,United Arab Emirates,True,False
